short_descriptions,assignment_groups
20139145 Tender message is not received by LSP ,SD_1stL_SD-UC_NSN_ENG_PH
User fajabbarinteltecae Getting error – Repeating password issue,SD_1stL_SD-UC_NSN_ENG_PH
Unable to edit in excel,Service Desk - Non Sales
Please block the domain assessfirstcom related INC0862681,G SNOW RU SERVICE DESK
Installation of Software stucked on 0,SD_1stL_SD-UC_NSN_ENG_PH
Assistance with setting up all applications on NEW Hire computer,Deskside Carnegie
MK  User access update,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
DP Issue Failure for hpdrmf01,GBL-WTI-AHS WINTEL L1
GR  Remove access,G SNOW GR SERVICE DESK
TrreatNow eligibility MC1017900245,Service Desk - Sales All
RE Access on LSH tool servers,Service Desk - Non Sales
NO  sharepoint  Need edit remove access ,SD_1stL_SD-UC_NSN_ENG_PH
BIOS Password BIOS password did not work,SD_1stL_SD-UC_NSN_ENG_PH
SNMPAgentddn1pfizercom NotResponding Unix,GBL-WTI-AHS UNIX L1
Clear the dumpster of the mailbox,G SNOW EXT ATOS IS MAILING ADMINS
Please add this domain to a white list logist10rtlogisticsru,G SNOW RU SERVICE DESK
RSA Token  Token activation keeps failing ,SD_1stL_SD-UC_NSN_ENG_PH
BG  Cannot change Windows password due to error,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
 Session ID 401640 Server  Cant access,GBL-WTI-AHS WINTEL L1
Create EXT Users,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RE Verification of learning code,Service Desk - Non Sales
FW CW account deactivation,Service Desk - GAM
Password reset for C35502,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
BT  Rerouting activities,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CZSK  Add users into AD groups,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
HR  Request for access to HEAD RTM Scorecard,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
VPN connection was unstable,SD_1stL_SD-UC_NSN_ENG_PH
GR creation of a dedicated account Urgent,G SNOW GR SERVICE DESK
PL  recipients mailbox is full,G SNOW PL SERVICE DESK
SAP access for user BS001272,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
eLearn login issues,Service Desk - Non Sales
Lenovo Thinkpad power adaptor needed till EOD,Deskside Carnegie
SHPCONs Not Entering SAP,PZC-FJ-ServiceDesk
Email Forwarding for all ASN Users,SD_UC_CoCare_NSN_GL
amrlajl002pfizercom cpqHeFltTolPowerSupply Linux,GBL-WTI-AHS UNIX L1
user had an issue with access to Veeva and they just wanted to make sure they werent locked out,Service Desk - Sales All
Form fillable document issue was scanned and sent back after being scanned again  no longer form fillable,Service Desk - Non Sales
Concur web sign on in ipad,Service Desk - Non Sales
Unable to create DN through VL10AP20,SD_UC_CoCare_NSN_GL
Cant sync my email with Beamerys CRM system,G SNOW EXT ATOS IS MAILING ADMINS
Assign SAP role to RO910496,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
unable to logn into laptop,Service Desk - Non Sales
RP NSAUNIX Request20190826094500153,GBL-WTI-AHS UNIX L1
Issue with Confluence page access,SD_UC_CoCare_NSN_GL
istemaprt01emeapfizercom Down Intel VM Guest,GBL-WTI-AHS WINTEL L1
Ouling25 is unreachable,SD_1stL_SD-UC_NSN_ENG_PH
Please create ticket  NEBA application Add Role for several users,SD_UC_CoCare_NSN_GL
Add user to group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
amrndhs030pfizercomLogMonitorMemory Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixMemoryErrors Solaris Zone,GBL-WTI-AHS UNIX L1
Outlook reading pane,Service Desk - Non Sales
Nokia SharePoint Archive data of 2019,SD_UC_CoCare_NSN_GL
IT Assign SAP Roles for Q Environment ,G SNOW IT SERVICE DESK
Add User to Assignment group G SNOW EXT ATOS MMHIC 2  related to CHG0065907,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
amrndhl1053pfizercomLogMonitorFileSystem or Device Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixFullFilesystemErrors Linux,GBL-WTI-AHS UNIX L1
GR  SSF access for GR202557 ,G SNOW GR SERVICE DESK
Veeva missing accounts,Service Desk - Sales All
Password Requirement Inquiry,Service Desk - Non Sales
Create new security group KAE RU,G SNOW RU SERVICE DESK
FW OAPI Termination Letter  Morgan Terrypdf,Deskside Carnegie
NF 32445 on the gear,SD_1stL_SD-UC_NSN_ENG_PH
Unable to extend the validity of the delivery,SD_1stL_SD-UC_NSN_ENG_PH
Unable to access VNC Viewer,SD_1stL_SD-UC_NSN_ENG_PH
unable to access network drive,Service Desk - Non Sales
Please unlock me HQ000930,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Access HEAD scorecards ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Pulse Secure Onetime password for installing the NOKIA SSL VPN certificate,SD_UC_CoCare_NSN_GL
Creation of new outlook email groups all external addresses  Urgent,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Hospital call questions,Service Desk - Sales All
MS Office prompts for Produst Key user has E3 license,SD_1stL_SD-UC_NSN_ENG_PH
Turn off network discovery,Service Desk - Non Sales
SAPSY3 system issue,SD_UC_CoCare_NSN_GL
Powerpoint HowTo inquiry ,Service Desk - Non Sales
Interface to HWS Logistic Service Provider Arvato down again,SD_1stL_SD-UC_NSN_ENG_PH
NEW HIRE Thimmi Bavigadla  OAPI,Service Desk - Non Sales
Access to Otsuka Share Point,Service Desk - Non Sales
Copy user access,G SNOW RU SERVICE DESK
Access To shared Folder S,Service Desk - GAM
Otsuka Vine app needs to update,Service Desk - Non Sales
CZ    access restore AD   created on behalf of INC0884209,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CZ    add OMProfile    created on behalf of INC0901310,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
User Wang Fan A NSB  CNNanjing has valid Pronto access but is not able to login,SD_1stL_SD-UC_NSN_ENG_PH
fNokia  Hardware Laptop  frequent restart  possible corrupted files,SD_1stL_SD-UC_NSN_ENG_PH
Raised with SAP  GRC Log Usage review notifications not b,PZC-FJ-ServiceDesk
Chennai HO CHO File Server  INTNSF5100  Remove User access from EUserSharesUID folders,GBL-WTI-AHS WINTEL L1
Veeva Engage error Attendees not invited ,Service Desk - Sales All
Windows 10  Memory management BSOD issue,SD_1stL_SD-UC_NSN_ENG_PH
unable to install certificate,SD_UC_CoCare_NSN_GL
Check the servers status ASPSDCW692,GBL-WTI-AHS WINTEL L1
SOFTWARE CENTRE not accesible from my laptop,SD_1stL_SD-UC_NSN_ENG_PH
fNokia  Hardware Laptop  unable to charge  power issue due to possible motherboard problem,SD_1stL_SD-UC_NSN_ENG_PH
on CF931 Asset Option is not available for this Commodity Code 7210230202,I-Buy Process Support
gdw002aapacpfizercom Down Intel,GBL-WTI-AHS WINTEL L1
Help with teams and outlook,Service Desk - Non Sales
 FR  Jabber  Phone Service Issue,SD_1stL_SD-UC_NSN_ENG_PH
Delivery Notification for HK190016K00405350000783 5350000764 535000063 5350000785 5350000761,SD_UC_CoCare_NSN_GL
FW Password Reset Request,Service Desk - Non Sales
HARDWARE Cannot change brightness level of the display in my laptop,SD_1stL_SD-UC_NSN_ENG_PH
RP NSAUNIX Request20190919033258488,GBL-WTI-AHS UNIX L1
ovm2zone01pfizercomMultiple copyenvdailysh PIDs Detected Escalate and Investigate Issues ASAPunixlogpfizerflasharchive PFEUnixFlashArchiveError Solaris Zone,GBL-WTI-AHS UNIX L1
Sync SAPIM and the workflow tool,SD_1stL_SD-UC_NSN_ENG_PH
Jabber  Phone services not working,SD_1stL_SD-UC_NSN_ENG_PH
Administration  SI creation,SD_1stL_SD-UC_NSN_ENG_PH
Supplier number 840006 not visible in Ariba despite SBM flags Ariba P2P and S2C are set,I-Buy Process Support
UNABLE TO PROPOSE RESOURCE,SD_1stL_SD-UC_NSN_ENG_PH
CEME table issues ,I-Buy Process Support
IAMITIM Template for update optional role for legacy role ZCXXARPOSTINGXXXX,SD_UC_CoCare_NSN_GL
Rebate Agreements with no settlement,PZC-FJ-ServiceDesk
Name Badge for Field Usage Request ,Service Desk - Sales All
Unable to  to access to httpsctwebalcatellucentcomscmlib4showindexquickcgikey3HH1128320DFZZAsortkeysortorderdesc,SD_1stL_SD-UC_NSN_ENG_PH
DL list update  OPDC Program Management,Service Desk - GAM
PL  New users access to SPC,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Please provide Dustin Hindmarch with Adobe Acrobat Pro,Service Desk - GAM
SW  software center cannot be loaded ,SD_1stL_SD-UC_NSN_ENG_PH
msscilocalesisoj70emeansnnetnet is not working from Global  Germany Frankfurt  Cloud VPN server,SD_1stL_SD-UC_NSN_ENG_PH
User EXQ02464 validity needs to be extended to 31122021,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
esling48 and 123 sre not working,SD_1stL_SD-UC_NSN_ENG_PH
Jabber Phone services  The username or password is not correct,SD_1stL_SD-UC_NSN_ENG_PH
user needs assistance changing her password,Service Desk - Non Sales
Please reset MFA for users account AndreyVasilkovcchelleniccom,G SNOW RU SERVICE DESK
Please block the domain siolimsutdedusg as its related to INC0878946,G SNOW RU SERVICE DESK
PLSD PLSD  Please reactivate user  PLQ01844 SIETOM in AD,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Hardware Internal display flickering issue,SD_1stL_SD-UC_NSN_ENG_PH
Upgrade to Windows 10 v 177630 to download Python 38,Service Desk - Non Sales
SAP HR System Accounts for Winshuttle project,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Red team Training  Comportal,Service Desk - Non Sales
RP NSAUNIX Request20191216105138915,GBL-WTI-AHS UNIX L1
IN  Software Center  Unable to Launch Software Center,SD_1stL_SD-UC_NSN_ENG_PH
RP NSAUNIX Request20191120131356772,GBL-WTI-AHS UNIX L1
PL  Active Directory,G SNOW PL SERVICE DESK
Laptops shipment to Depot Services for Replenishment during COVID19,Deskside Carnegie
RS  Assign roles,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
FW Overdue Training,Service Desk - Non Sales
Request for Readsoft password reset,SD_UC_CoCare_NSN_GL
nlsun901pfizercomLogMonitorFlashArchive Failure Escalate and Investigate Issues ASAPunixlogpfizerflasharchive PFEUnixFlashArchiveErrors Solaris Zone,GBL-WTI-AHS UNIX L1
SAP P20 running slow,SD_UC_CoCare_NSN_GL
NokiaStandardRequester role for Cinzia Deriu,I-Buy Process Support
Skype meeting on iPad,Service Desk - Non Sales
IT  Convert Plants 6472 from XDCross Dock without Stock to XCCross Dock with Stock,G SNOW IT SERVICE DESK
Office 365  Activation Issue User is still not Getting the E3 License ,SD_1stL_SD-UC_NSN_ENG_PH
Skype is not Opening,Deskside Carnegie
Emails from a key account kulikovavendingproru go into spam,G SNOW RU SERVICE DESK
not able to clone git folder,SD_1stL_SD-UC_NSN_ENG_PH
CARES Remedy Password Reset for account dcyuntinch,SD_UC_CoCare_NSN_GL
EE ArtifactMgmt Artifactory couldnt download the artifacts randomly,SD_UC_CoCare_NSN_GL
Out of Sync Error  on SAP E1P 110  Please escalate this issue,SD_1stL_SD-UC_NSN_ENG_PH
Jabber Phone services  Phone Service Not Available,SD_1stL_SD-UC_NSN_ENG_PH
PL  Password reset in C35  Globally locked,G SNOW PL SERVICE DESK
Unable to connect to collaborationotsukauscom,Service Desk - Non Sales
SAP Latency  Wipro  Chennai  Kolkata Location  Users affected  83,SD_UC_CoCare_NSN_GL
Error Report Activity ID b6bedaf71aee4c396b040080020000bc,Service Desk - Non Sales
ASAP  exclude user from IDM replication,G SNOW RU SERVICE DESK
Adobeｮ Acrobatｮ Pro,Service Desk - Non Sales
Unable to access Microsoft power bi with proxy,SD_UC_CoCare_NSN_GL
FW INC0346681  Cannot sign into outlook,Service Desk - Non Sales
Request  RITM2457014 IncorrectIncomplete fulfillment of Service Request,SD_1stL_SD-UC_NSN_ENG_PH
contact ending on the 30th ,Service Desk - Non Sales
Requesting Microsoft Project,Service Desk - GAM
SAUM04Mobily Receiving “Alarm Extraction” emails from Robot Issue reported by Ops team,SD_1stL_SD-UC_NSN_ENG_PH
PL  Access to CTI report xyz KOLEKI final,G SNOW PL SERVICE DESK
Process chain failures  Group 2  in BWP on 16122018,PZC-FJ-ServiceDesk
amrndhs374pfizercomcritical alert on faulty component CMP0MR1BOB1CH1D0 Suspected fault in memory dimmpageretiresexcessive opscenter PFEOEMOpsCenterAlert Solaris Zone Host,GBL-WTI-AHS UNIX L1
CARES Account activation,SD_1stL_SD-UC_NSN_ENG_PH
Granting access to transaction,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PRPR14012 approver Bhaskar Gorti has to be replaced with Barbara Landmann,I-Buy Process Support
Link for meeting,Service Desk - Non Sales
IT  2FA reset,G SNOW IT SERVICE DESK
user not getting credit for elearn module ,Service Desk - Non Sales
Australia Indirect Tax Unstructured Report unable to run report SAP – Tcode   SALR87012357,SD_UC_CoCare_NSN_GL
Assign new group to user in SNOW,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
new vlab ticket  need a new template to be created in Catalog for RHEL 76 or higher,SD_1stL_SD-UC_NSN_ENG_PH
Info PO 5020154713 has been sent to the supplier value 2600 HKDWrong currency,SD_UC_CoCare_NSN_GL
RP NSAUNIX Request20190917092813503,GBL-WTI-AHS UNIX L1
SAP BWP Password,SD_UC_CoCare_NSN_GL
Knowledge Portal OWL,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
password sync issues ,Service Desk - Non Sales
Please change users email address from XENIYABILYAMOVACCHELLENICCOM to KseniyaEpifanovacchelleniccom with the migration of all emails to a new one,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Need access to folder SWPREVIEWCSR,Service Desk - GAM
Unable to see calender and one drive in new machine,Deskside Carnegie
Please assign access back,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unable to log into Salesforce,Service Desk - Sales All
Re New Hire Email Change Request,Service Desk - GAM
Tickets  for support offering HR UAM User Access Management is not generating service desk  emails,SD_1stL_SD-UC_NSN_ENG_PH
EMAZASL001 GIS PANS  please register RHN REPOLIST to production  precheck for auto patching RFC 1362314 on Aug 11,GBL-WTI-AHS UNIX L1
Collaborator  RDNet  request to enable HVD  to BLR connection,SD_UC_CoCare_NSN_GL
FW Action Required Mandatory Otsuka Compliance Training,Service Desk - Non Sales
unable to login into orion,Service Desk - Non Sales
Prolong access with validity,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
DP Issue Failures for AMER5c  BS amrdrml059 GP 0300Start CT amrndhs154,GBL-WTI-AHS UNIX L1
emaedcs077pfizercom ProcessThe vxrelocd Process has Stopped  Escalate ASAP Solaris Zone Host,GBL-WTI-AHS UNIX L1
GTS block in P20,SD_UC_CoCare_NSN_GL
IT Reset 2FA,G SNOW EXT ATOS IS MAILING ADMINS
Assign correct Primary IP address new server just released  AMRSVAW007,GBL-WTI-AHS WINTEL L1
RP NSAUNIX Request20190924135334184,GBL-WTI-AHS UNIX L1
User cannot print email messages,Service Desk - Non Sales
CCR Monitoring  Manufacturing order missing in APO for NG12,PZC-FJ-ServiceDesk
Please blacklist inlltlcom,G SNOW EXT ATOS IS MAILING ADMINS
RP NSAUNIX Request20190802053745559,GBL-WTI-AHS UNIX L1
Distribution list adjustments,Service Desk - GAM
Please prolong the validity of user EXQ02196 with 1 year,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PL  Access to transactions,G SNOW PL SERVICE DESK
Cant select HCPs address,Service Desk - Sales All
Adobe Subscription Error,Deskside Carnegie
RFA  LotusNotes for RF126918 Arseniy Markovich,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
kzoamrcls05aamerpfizercom cpqClusterNode Intel,GBL-WTI-AHS WINTEL L1
out of office message,Service Desk - Non Sales
PNUN03031NOKIA  Malware Backdoor Trojans and Virus Events as Offenses preceded by PNUN03031NOKIA  Exploit ExploitMalware Events Across Multiple Des,SD_1stL_SD-UC_NSN_ENG_PH
Input from 3rd biannual,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Master Data Transfer does not flow through CIF,PZC-FJ-ServiceDesk
Issue accessing the S Drive,Service Desk - Non Sales
Company portal and password issue,Service Desk - Non Sales
 FW Sharepoint file update issue,SD_UC_CoCare_NSN_GL
Orion Reports issue,Service Desk - Non Sales
Change last name in mail,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Windows 10  Goes to Automatic Repair  Not Booting to Windows OS,SD_1stL_SD-UC_NSN_ENG_PH
Not able to jump on the server AMRDRMS026,GBL-WTI-AHS UNIX L1
amrbltl002pfizercomLogMonitorMemory Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixMemoryErrors Linux,GBL-WTI-AHS UNIX L1
User is asking to keep the laptop due to medical issues,Service Desk - Non Sales
Access in Snow,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IT  New shared mailbox,G SNOW IT SERVICE DESK
HU Grant shared mailbox access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RE Account is locked,Service Desk - Non Sales
ENHVAT Code Changes Indonesia Company  9000009456  A19653065 ,PZC-FJ-ServiceDesk
Missing Orion data,Service Desk - Sales All
Move to Approved Queue  20200106000145,SD_1stL_SD-UC_NSN_ENG_PH
Office 365  Activation Issue The code execution cannot proceed because AppVlsvSubsystems32dll was not found,SD_1stL_SD-UC_NSN_ENG_PH
ABAP runtime error in Q24 for CIE07  Extend contract end date,SD_1stL_SD-UC_NSN_ENG_PH
Webex Recording Not Publishing on Recording Page,SD_1stL_SD-UC_NSN_ENG_PH
Missing software  RITM2471754 Project Online Professional 2016 32 bit,SD_1stL_SD-UC_NSN_ENG_PH
BI PAA Week 22,PZC-FJ-ServiceDesk
Please block the domain ticketmastercom as its related to INC0827983,G SNOW RU SERVICE DESK
Please verify networker service status on below clients,GBL-WTI-AHS UNIX L1
CH  My businessProcurement access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
cannot access dashboard,Service Desk - Sales All
Re Reverse Change Request,Service Desk - Sales All
CZ  access to share disc WA1,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
ENH A3484738  8000004581 SAP APO Data Source and Transformation ,PZC-FJ-ServiceDesk
Issue accessing elearn on iPad,Service Desk - Non Sales
GR  Planon Quality Access Request ,G SNOW GR SERVICE DESK
Adding In a perscriber,Service Desk - Sales All
Please remove the following users from the below groups,I-Buy Process Support
NG  Lotus notes password,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Network Drive  Unable to Map ,SD_1stL_SD-UC_NSN_ENG_PH
ENHPZ Wilmar New Catbrand File to be loaded into BIA34887978000004656  ,PZC-FJ-ServiceDesk
 ManikantanVenkatachalamotsukauscom6302020 159 PM  Issue in accessing Sharepoint List from Spotfire,Service Desk - Non Sales
Regional approval rights in QA Chrome River System,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unable to open outlook,Service Desk - Non Sales
RE Onboarding a new AWS resource,Service Desk - GAM
 S2C tool FPGACM PO approvals,I-Buy Process Support
Accounting configuration mismatch in IBuy ,I-Buy Process Support
GR  Rename service account,G SNOW GR SERVICE DESK
Readsoft Issue  Latency ,SD_UC_CoCare_NSN_GL
GR  Regarding INC No INC0837927 Reopened comments Assign access  hs1,G SNOW GR SERVICE DESK
Office 365  Outlook Incoming Emails Not Going to Inbox,SD_1stL_SD-UC_NSN_ENG_PH
HU  Snow acces to Reroute ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Please reset MFA for users account ArtemOgnevcchelleniccom,G SNOW RU SERVICE DESK
PDMalcatel cancel or delete the following APN request,SD_UC_CoCare_NSN_GL
Sales Order Failed during sending to ERP,SD_UC_CoCare_NSN_GL
Printing list not shown and not printing in color,SD_1stL_SD-UC_NSN_ENG_PH
Veeva engage did not send email to HCP for meeting,Service Desk - Sales All
Neds to have access to Telefonica in NOLS to be able to download softwares,SD_1stL_SD-UC_NSN_ENG_PH
Win10 1809  My Computer  WorkstationGetting error message on clicking Program Settings in Window Security,SD_1stL_SD-UC_NSN_ENG_PH
Red Team Training  Javelin URL,Service Desk - Non Sales
PRPR14012 approver SoritschRenier Ursula is no longer in the company and it has to be replaced,I-Buy Process Support
Add  user  CZ005617 to a group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
MC  Nokia Meetings  webex account deactivated,SD_UC_CoCare_NSN_GL
HU  English Name Email address,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
DE  ms teams  Microsoft Teams  Microphone after 15 min not working,SD_1stL_SD-UC_NSN_ENG_PH
Vitamin Store Access Link f or employees is down,Service Desk - Non Sales
Breakfixamrsomw156amerpfizercom cpqHeResilientAdvancedECCMemoryEngaged Intel,GBL-WTI-AHS WINTEL L1
Missing OEE Target on BIReport for materials in NG10,PZC-FJ-ServiceDesk
Creation of OSS User,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
usnbst0171hospiracorp Down Intel,GBL-WTI-AHS WINTEL L1
SAP Incident  Process chain failures  Group 1  18122018,PZC-FJ-ServiceDesk
general question on ipad and pairing bluetooth headset,Service Desk - Non Sales
Needed a temporary password to setup a new laptop in depot,Deskside Carnegie
Scanner not working,Service Desk - Non Sales
Software in Software Center went missing,SD_1stL_SD-UC_NSN_ENG_PH
ms outlook is not sending emails,Service Desk - Non Sales
HR  Add roles after position change,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SBO password reset,SD_UC_CoCare_NSN_GL
users account has been deprovisioned  sundus tanveer,Service Desk - Non Sales
Reconnect VPN  INC0384273,Service Desk - Non Sales
BSO  Citrix access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unable to start the sevrice FTERPIntegrationGateway11100113MULE in server EMARINW014Kindly check and update us ASAP,GBL-WTI-AHS WINTEL L1
BI Data load issue,PZC-FJ-ServiceDesk
SAP Blue Planet ,SD_UC_CoCare_NSN_GL
amribww004amerpfizercom cpqSmInterfaceError Intel,GBL-WTI-AHS WINTEL L1
IT NEW DISTRIBUTION MODE,G SNOW IT SERVICE DESK
amrndhl881pfizercom Down Linux,GBL-WTI-AHS UNIX L1
SNOW team setup for eBest team in relation to Image recognition Customer App support,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
amrnhcw003amerpfizercom Down IntelCitrix,GBL-WTI-AHS WINTEL L1
Not able to reopen the review in EE collab,SD_UC_CoCare_NSN_GL
DICentral message failures Purshace orders,PZC-FJ-ServiceDesk
DP ISSUE Failures for AMER5  BS amrbiwava001 GP avamardirect CT biwhistorian01,GBL-WTI-AHS WINTEL L1
Add members to distribution list GroupFinanceReportingSolutionscchelleniccom,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Assistance with password and password sync ,Service Desk - Non Sales
Please blacklist jlawrencepsredu,G SNOW EXT ATOS IS MAILING ADMINS
RS  P03 ERP MB5B Transaction Roles missing after position change,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
access to SE16,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Not able to upload in a STREAM,Service Desk - Non Sales
iPad setup failure,Service Desk - Non Sales
Cant sign in to Orion,Service Desk - Non Sales
Patching Issue PARTIALLY Win2008 606003 Result for BUCEMAAPP02,GBL-WTI-AHS WINTEL L1
fNokia  SharePoint  unable to sync documents,SD_1stL_SD-UC_NSN_ENG_PH
IT  Email threat subject Health Safety and Environment Management,G SNOW IT SERVICE DESK
Initial setup Phone,Deskside Carnegie
new cloud server,SD_UC_CoCare_NSN_GL
Cannot update Order number for WG Rules,SD_1stL_SD-UC_NSN_ENG_PH
FW Close out,Deskside Carnegie
Reg  HVD connectivity issue,SD_UC_CoCare_NSN_GL
SOFTWARE FMO Win10Windows 10 installation failed ,SD_1stL_SD-UC_NSN_ENG_PH
GR  Access to ME51N for GRQ01249 ,G SNOW GR SERVICE DESK
RS  Change Email Address,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Raise retro RFC to account that server was patched and that patching RFC was cancelled in error,GBL-WTI-AHS UNIX L1
create new Service Now Group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
veeva sync is not updating,Service Desk - Sales All
Nokia Support Portal  SSO error,SD_1stL_SD-UC_NSN_ENG_PH
ENHSAP NWC Days  reopenINC1839785  A3491355 8000004693,PZC-FJ-ServiceDesk
multiple lockout on her account,GBL-WTI-AHS WINTEL L1
RE CREDO  REgarding Nonclinical role workflow  INC0377089,Service Desk - Non Sales
One Drive Synchronization Issue,SD_1stL_SD-UC_NSN_ENG_PH
Copying all access from P03 to Q03,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PO 9000002811 to be closed ,I-Buy Process Support
SAP BPP printer is not working,SD_UC_CoCare_NSN_GL
alliancesupport INC1896015 Alliance tool is not loading,SD_UC_CoCare_NSN_GL
SF Ticket 00214848,SD_1stL_SD-UC_NSN_ENG_PH
DP issueFailures for AMER5c  BS amrdrml059 GP  CT ndhamrcls12,GBL-WTI-AHS WINTEL L1
Modern Intranet   Access Denied,SD_UC_CoCare_NSN_GL
CCR Monitoring  SO not in IMNGR1,PZC-FJ-ServiceDesk
Google chrome on iPad,Service Desk - Non Sales
PL  Set new passwords for mailboxesdistribution lists,G SNOW EXT ATOS IS MAILING ADMINS
RE eLearn Pin,Service Desk - Non Sales
Authorization in Q portal for BY060266,G SNOW RU SERVICE DESK
new employee is requesting their password,Service Desk - Non Sales
PC Hardware Auxiliary Port USB HDMI VGA etc concerns,SD_1stL_SD-UC_NSN_ENG_PH
HCP new address has no SLN data,Service Desk - Sales All
User PZC57224requires initial SAP login ,PZC-FJ-ServiceDesk
BWP Process Chain Failure 03092019,PZC-FJ-ServiceDesk
Support Portal product NFMP is not found,SD_1stL_SD-UC_NSN_ENG_PH
Image recognition Customer App support,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
AMRSOMW049 Not Responding After Reboot Attempt,GBL-WTI-AHS WINTEL L1
User is getting locked out,Service Desk - Non Sales
IT 2Fa reset ,G SNOW IT SERVICE DESK
NAMM38SVO  No New queue items added into the Work Queue,SD_1stL_SD-UC_NSN_ENG_PH
iPad has dual Picture screen Cant get rid of it,Service Desk - Non Sales
Cannot seem to enter the Case Processing Share Point site,Service Desk - Non Sales
VPN Keeps Reconnecting,SD_1stL_SD-UC_NSN_ENG_PH
CZ Grant roles for IOTEbest tool,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
amrdrms004ldom05pfizercom ProcessThe syslogd Process has Stopped  Escalate ASAP Guest LDOM,GBL-WTI-AHS UNIX L1
RUEDI Please setup message DELNOT for customer OZON,G SNOW RU SERVICE DESK
GR  delete message from infrastructure  CRITICAL,G SNOW GR SERVICE DESK
CZ    remove roles,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Mailbox size report for Adria users,G SNOW EXT ATOS IS MAILING ADMINS
WIFI is not connecting in Phone,Deskside Carnegie
WHT not syndicated to BPP under BR1 company code Vendor 5280930 BR1,SD_1stL_SD-UC_NSN_ENG_PH
Unable to log into Veeva online,Service Desk - Sales All
VPN certificates for EXT users,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IBuy link is not working ,SD_1stL_SD-UC_NSN_ENG_PH
GR  Office 365 access,G SNOW GR SERVICE DESK
confirm the disk arrival onsite under fedex tracking 358 7225 6286,GBL-WTI-AHS UNIX L1
ENHCosting required for new BI report,PZC-FJ-ServiceDesk
Office 365  Outlook  Outlook is not working,SD_1stL_SD-UC_NSN_ENG_PH
Removal of AD groups  BG901197,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RO  Users globally locked by system nanager,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Issue with Skype,Deskside Carnegie
Call regarding rerouting ticket INC0339073,Service Desk - Non Sales
Dell Power Cable,Service Desk - Non Sales
Restore Skype Access,Service Desk - Non Sales
